0,-19.11881546,19.11881546,17.91952267,15.33077335,-15.33077335,-17.91952267
10,-19.08180005,19.08180005,17.96889723,15.36437389,-15.36437389,-17.96889723
20,-18.93911362,18.93911362,17.99641853,15.43686619,-15.43686619,-17.99641853
30,-18.70667935,18.70667935,17.95802616,15.53575135,-15.53575135,-17.95802616
40,-18.40640256,18.40640256,17.82067029,15.6603437,-15.6603437,-17.82067029
50,-18.07048778,18.07048778,17.54096618,15.79485957,-15.79485957,-17.54096618
60,-17.75434835,17.75434835,17.14695576,15.87183714,-15.87183714,-17.14695576
70,-17.52564969,17.52564969,16.65843964,15.84762845,-15.84762845,-16.65843964
80,-17.41323329,17.41323329,16.09868838,15.59736209,-15.59736209,-16.09868838
90,-17.474861,17.474861,15.70333135,15.30045125,-15.30045125,-15.70333135
100,-17.64072669,17.64072669,15.67900856,15.20008264,-15.20008264,-15.67900856
110,-17.76047982,17.76047982,15.92038925,15.21177591,-15.21177591,-15.92038925
120,-17.75152457,17.75152457,16.04171429,15.11539423,-15.11539423,-16.04171429
130,-17.63784365,17.63784365,16.07256416,14.92857461,-14.92857461,-16.07256416
140,-17.45245829,17.45245829,16.15257081,14.71686099,-14.71686099,-16.15257081
150,-17.21416314,17.21416314,16.34924612,14.56166471,-14.56166471,-16.34924612
160,-16.98707432,16.98707432,16.58062739,14.47193687,-14.47193687,-16.58062739
170,-16.79672269,16.79672269,16.74385807,14.37198366,-14.37198366,-16.74385807
180,-16.71618354,16.71618354,16.7855569,14.33663521,-14.33663521,-16.7855569
