0,-4.848742615,4.848742615,18.0530846,15.33077335,-15.33077335,-18.0530846
10,-4.885780087,4.885780087,18.08788748,15.36437389,-15.36437389,-18.08788748
20,-4.849166256,4.849166256,18.08945505,15.43686619,-15.43686619,-18.08945505
30,-4.591582447,4.591582447,18.0309826,15.53575135,-15.53575135,-18.0309826
40,-4.192461215,4.192461215,17.87315749,15.6603437,-15.6603437,-17.87315749
50,-3.805204368,3.805204368,17.60399574,15.79485957,-15.79485957,-17.60399574
60,-3.533604659,3.533604659,17.25013437,15.87183714,-15.87183714,-17.25013437
70,-3.407686006,3.407686006,16.73362551,15.84762845,-15.84762845,-16.73362551
80,-3.396938131,3.396938131,16.09952548,15.59736209,-15.59736209,-16.09952548
90,-3.355318366,3.355318366,15.65021558,15.30045125,-15.30045125,-15.65021558
100,-3.366261545,3.366261545,15.67882741,15.20008264,-15.20008264,-15.67882741
110,-3.760871971,3.760871971,15.96940135,15.21177591,-15.21177591,-15.96940135
120,-3.919010593,3.919010593,16.14494128,15.11539423,-15.11539423,-16.14494128
130,-3.684712746,3.684712746,16.17524031,14.92857461,-14.92857461,-16.17524031
140,-3.291916058,3.291916058,16.24472058,14.71686099,-14.71686099,-16.24472058
150,-2.89369677,2.89369677,16.42421304,14.56166471,-14.56166471,-16.42421304
160,-2.610490033,2.610490033,16.66057324,14.47193687,-14.47193687,-16.66057324
170,-2.425469489,2.425469489,16.82869758,14.37198366,-14.37198366,-16.82869758
180,-2.337034032,2.337034032,16.88436034,14.33663521,-14.33663521,-16.88436034
